#TYPE Deserialized.System.ServiceProcess.ServiceController
"Name","RequiredServices","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AarSvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Agent Activation Runtime_b4814","",".","AarSvc_b4814","","SafeServiceHandle","Stopped","224","Manual",,
"AJRouter","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","AllJoyn Router Service","",".","AJRouter","","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"ALG","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Application Layer Gateway Service","",".","ALG","","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"AppIDSvc","RpcSs CryptSvc AppID","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Application Identity","applockerfltr",".","AppIDSvc","RpcSs CryptSvc AppID","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Appinfo","RpcSs ProfSvc","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Application Information","",".","Appinfo","RpcSs ProfSvc","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppMgmt","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Application Management","",".","AppMgmt","","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"AppReadiness","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","App Readiness","",".","AppReadiness","","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"AppVClient","AppvVfs RpcSS AppvStrm netprofm","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Microsoft App-V Client","",".","AppVClient","AppvVfs RpcSS AppvStrm netprofm","SafeServiceHandle","Stopped","Win32OwnProcess","Disabled",,
"AppXSvc","rpcss staterepository","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","True","True","AppX Deployment Service (AppXSVC)","",".","AppXSvc","rpcss staterepository","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AssignedAccessManagerSvc","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","AssignedAccessManager Service","",".","AssignedAccessManagerSvc","","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"AudioEndpointBuilder","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Windows Audio Endpoint Builder","AarSvc_b4814 AarSvc Audiosrv",".","AudioEndpointBuilder","","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Audiosrv","AudioEndpointBuilder RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Windows Audio","AarSvc_b4814 AarSvc",".","Audiosrv","AudioEndpointBuilder RpcSs","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"autotimesvc","rpcss","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Cellular Time","",".","autotimesvc","rpcss","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"AxInstSV","rpcss","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","ActiveX Installer (AxInstSV)","",".","AxInstSV","rpcss","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BcastDVRUserService_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","GameDVR and Broadcast User Service_b4814","",".","BcastDVRUserService_b4814","","SafeServiceHandle","Stopped","224","Manual",,
"BDESVC","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","BitLocker Drive Encryption Service","",".","BDESVC","",,"Stopped","Win32ShareProcess","Manual",,
"BFE","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Base Filtering Engine","XboxNetApiSvc WdNisSvc WdNisDrv SharedAccess RemoteAccess PolicyAgent NcaSvc mpssvc IKEEXT",".","BFE","RpcSs",,"Running","Win32ShareProcess","Automatic",,
"BITS","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Background Intelligent Transfer Service","",".","BITS","RpcSs","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BluetoothUserService_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Bluetooth User Support Service_b4814","",".","BluetoothUserService_b4814","","SafeServiceHandle","Stopped","224","Manual",,
"BrokerInfrastructure","DcomLaunch RpcSs RpcEptMapper","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Background Tasks Infrastructure Service","workfolderssvc WMPNetworkSvc WSearch CDPSvc NcbService embeddedmode",".","BrokerInfrastructure","DcomLaunch RpcSs RpcEptMapper",,"Running","Win32ShareProcess","Automatic",,
"BTAGService","rpcss","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Bluetooth Audio Gateway Service","",".","BTAGService","rpcss","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BthAvctpSvc","rpcss","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","AVCTP service","",".","BthAvctpSvc","rpcss","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"bthserv","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Bluetooth Support Service","BluetoothUserService_b4814 BluetoothUserService",".","bthserv","","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"camsvc","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","True","True","Capability Access Manager Service","",".","camsvc","","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"CaptureService_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","CaptureService_b4814","",".","CaptureService_b4814","","SafeServiceHandle","Stopped","224","Manual",,
"cbdhsvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Clipboard User Service_b4814","",".","cbdhsvc_b4814","","SafeServiceHandle","Running","240","Manual",,
"CDPSvc","Tcpip ncbservice RpcSS","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Connected Devices Platform Service","",".","CDPSvc","Tcpip ncbservice RpcSS","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CDPUserSvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Connected Devices Platform User Service_b4814","",".","CDPUserSvc_b4814","","SafeServiceHandle","Running","240","Automatic",,
"CertPropSvc","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Certificate Propagation","",".","CertPropSvc","RpcSs",,"Stopped","Win32ShareProcess","Manual",,
"ClipSVC","rpcss","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Client License Service (ClipSVC)","",".","ClipSVC","rpcss",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"COMSysApp","EventSystem SENS RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","COM+ System Application","",".","COMSysApp","EventSystem SENS RpcSs","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"ConsentUxUserSvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","ConsentUX_b4814","",".","ConsentUxUserSvc_b4814","","SafeServiceHandle","Stopped","224","Manual",,
"CoreMessagingRegistrar","rpcss","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","CoreMessaging","",".","CoreMessagingRegistrar","rpcss",,"Running","Win32ShareProcess","Automatic",,
"CorsairLLAService","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","True","Corsair LLA Service","",".","CorsairLLAService","","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"CorsairService","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","True","True","Corsair Service","",".","CorsairService","RpcSs","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"CredentialEnrollmentManagerUserSvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","CredentialEnrollmentManagerUserSvc_b4814","",".","CredentialEnrollmentManagerUserSvc_b4814","",,"Stopped","208","Manual",,
"CryptSvc","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","True","True","Cryptographic Services","applockerfltr AppIDSvc",".","CryptSvc","RpcSs","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CscService","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Offline Files","",".","CscService","RpcSs","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DcomLaunch","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","DCOM Server Process Launcher","PrintWorkflowUserSvc_b4814 DevicesFlowUserSvc_b4814 DevicePickerUserSvc_b4814 DeviceAssociationBrokerSvc_b4814 CredentialEnrollmentManagerUserSvc_b4814 ConsentUxUserSvc_b4814 CaptureService_b4814 BluetoothUserService_b4814 BcastDVRUserService_b4814 XblGameSave XblAuthManager wlpasvc WwanSvc wuauserv workfolderssvc WMPNetworkSvc WSearch wscsvc WpnService WPDBusEnum WManSvc wlidsvc WlanSvc wisvc WinRM NcaSvc iphlpsvc Winmgmt WinDefend WiaRpc WFDSConMgrSvc WEPHOSTSVC wcncsvc icssvc Wcmsvc WbioSrvc WaaSMedicSvc VSS vds VaultSvc VacSvc UsoSvc TokenBroker UserManager TroubleshootingSvc TrkWks UmRdpService TermService Fax TapiSrv TabletInputService NaturalAuthentication Schedule SystemEventsBroker SysMain swprv stisvc AppXSvc StateRepository sppsvc Spooler spectrum SmsRouter smphost shpamsvc ShellHWDetection SharedRealitySvc SgrmBroker SessionEnv SEMgrSvc SecurityHealthService SDRSVC SCPolicySvc MSDTC LanmanServer KtmRm SamSs RmSvc RemoteRegistry RemoteAccess QWAVE PushToInstall Appinfo ProfSvc PrintWorkflowUserSvc PrintNotify pla PhoneSvc PerfHost perceptionsimulation PcaSvc upnphost SSDPSRV NcdAutoSetup AppVClient netprofm NlaSvc Netman Netlogon LanmanWorkstation IpxlatCfgSvc XboxNetApiSvc IKEEXT RasMan Dnscache WinHttpAutoProxySvc Dhcp nsi NgcSvc NgcCtnrSvc NetSetupSvc CDPSvc NcbService msiserver MixedRealityOpenXRSvc MicrosoftEdgeElevationService MapsBroker LSM lltdsvc LicenseManager lfsvc dot3svc Eaphost KeyIso InstallService gupdatem gupdate gpsvc GoogleChromeElevationService FrameServer fhsvc FDResPub fdPHost COMSysApp SENS EventSystem EntAppSvc EFS edgeupdatem edgeupdate DusmSvc DsmSvc DoSvc dmwappushservice DmEnrollmentSvc DispBrokerDesktopSvc DiagTrack diagsvc DevicesFlowUserSvc DevicePickerUserSvc DeviceAssociationBrokerSvc defragsvc CscService applockerfltr AppIDSvc CryptSvc CredentialEnrollmentManagerUserSvc CorsairService CoreMessagingRegistrar ConsentUxUserSvc ClipSVC CertPropSvc CaptureService BthAvctpSvc BTAGService embeddedmode BrokerInfrastructure BluetoothUserService BITS WdNisSvc WdNisDrv SharedAccess PolicyAgent mpssvc BFE BcastDVRUserService AxInstSV autotimesvc AarSvc_b4814 AarSvc Audiosrv RpcSs",".","DcomLaunch","",,"Running","Win32ShareProcess","Automatic",,
"defragsvc","RPCSS","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Optimize drives","",".","defragsvc","RPCSS","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DeviceAssociationBrokerSvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","DeviceAssociationBroker_b4814","",".","DeviceAssociationBrokerSvc_b4814","",,"Stopped","224","Manual",,
"DeviceAssociationService","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","True","True","Device Association Service","",".","DeviceAssociationService","","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DeviceInstall","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Device Install Service","",".","DeviceInstall","","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DevicePickerUserSvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","DevicePicker_b4814","",".","DevicePickerUserSvc_b4814","","SafeServiceHandle","Stopped","224","Manual",,
"DevicesFlowUserSvc_b4814","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","DevicesFlow_b4814","",".","DevicesFlowUserSvc_b4814","","SafeServiceHandle","Stopped","224","Manual",,
"DevQueryBroker","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","DevQuery Background Discovery Broker","",".","DevQueryBroker","","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Dhcp","Afd NSI","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","True","True","DHCP Client","NcaSvc iphlpsvc WinHttpAutoProxySvc NcdAutoSetup AppVClient netprofm NlaSvc",".","Dhcp","Afd NSI","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"diagnosticshub.standardcollector.service","","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Microsoft (R) Diagnostics Hub Standard Collector Service","",".","diagnosticshub.standardcollector.service","","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"diagsvc","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","False","False","Diagnostic Execution Service","",".","diagsvc","RpcSs","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DiagTrack","RpcSs","192.168.0.17","d8b46950-7dce-4e1c-896f-f769c0469b60","True","4830b928-9318-4613-a03a-5a615e4e2321","False","True","True","Connected User Experiences and Telemetry","",".","DiagTrack","RpcSs","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
